DATE,NINO3.4,ANOM_3
1995-09-01,26.1,-0.66
1995-10-01,25.82,-0.94
1995-11-01,25.81,-1.01
1995-12-01,25.73,-0.91
1996-01-01,25.74,-0.83
1996-02-01,25.96,-0.77
1996-03-01,26.58,-0.66
1996-04-01,27.32,-0.49
1996-05-01,27.37,-0.51
1996-06-01,27.23,-0.48
1996-07-01,26.93,-0.37
1996-08-01,26.59,-0.31
1996-09-01,26.41,-0.35
1996-10-01,26.22,-0.55
1996-11-01,26.39,-0.43
1996-12-01,26.04,-0.6
1997-01-01,25.95,-0.61
1997-02-01,26.34,-0.39
1997-03-01,26.88,-0.36
1997-04-01,27.7,-0.11
1997-05-01,28.28,0.4
1997-06-01,28.52,0.81
1997-07-01,28.57,1.27
1997-08-01,28.58,1.68
1997-09-01,28.6,1.84
1997-10-01,28.73,1.96
1997-11-01,28.93,2.11
1997-12-01,28.74,2.1
1998-01-01,28.59,2.03
1998-02-01,28.47,1.74
1998-03-01,28.42,1.18
1998-04-01,28.3,0.5
1998-05-01,28.33,0.45
1998-06-01,26.96,-0.75
1998-07-01,26.15,-1.15
1998-08-01,25.7,-1.2
1998-09-01,25.73,-1.03
1998-10-01,25.43,-1.34
1998-11-01,25.51,-1.31
1998-12-01,24.91,-1.73
1999-01-01,24.98,-1.58
1999-02-01,25.63,-1.1
1999-03-01,26.34,-0.89
1999-04-01,26.81,-0.99
1999-05-01,26.96,-0.92
1999-06-01,26.62,-1.08
1999-07-01,26.27,-1.03
1999-08-01,25.68,-1.22
1999-09-01,25.73,-1.03
1999-10-01,25.58,-1.19
1999-11-01,25.19,-1.63
1999-12-01,24.99,-1.65
2000-01-01,24.8,-1.77
2000-02-01,25.21,-1.52
2000-03-01,26.11,-1.13
2000-04-01,26.91,-0.9
2000-05-01,26.91,-0.97
2000-06-01,27.01,-0.7
2000-07-01,26.57,-0.73
2000-08-01,26.39,-0.51
2000-09-01,26.24,-0.52
2000-10-01,26.06,-0.71
2000-11-01,25.92,-0.9
2000-12-01,25.59,-1.05
2001-01-01,25.81,-0.76
2001-02-01,26.18,-0.56
2001-03-01,26.86,-0.37
2001-04-01,27.24,-0.56
2001-05-01,27.42,-0.46
2001-06-01,27.55,-0.16
2001-07-01,27.19,-0.11
2001-08-01,26.81,-0.09
2001-09-01,26.58,-0.19
2001-10-01,26.52,-0.25
2001-11-01,26.35,-0.48
2001-12-01,26.11,-0.53
2002-01-01,26.36,-0.2
2002-02-01,26.76,0.03
2002-03-01,27.17,-0.06
2002-04-01,27.84,0.03
2002-05-01,28.07,0.19
2002-06-01,28.31,0.6
2002-07-01,27.88,0.58
2002-08-01,27.56,0.66
2002-09-01,27.61,0.85
2002-10-01,27.79,1.02
2002-11-01,28.03,1.2
2002-12-01,27.94,1.3
2003-01-01,27.45,0.88
2003-02-01,27.39,0.65
2003-03-01,27.73,0.5
2003-04-01,27.67,-0.14
2003-05-01,27.28,-0.6
2003-06-01,27.37,-0.34
2003-07-01,27.34,0.04
2003-08-01,26.94,0.04
2003-09-01,26.94,0.18
2003-10-01,27.19,0.42
2003-11-01,27.03,0.21
2003-12-01,26.98,0.34
2004-01-01,26.78,0.22
2004-02-01,26.9,0.16
2004-03-01,27.05,-0.18
2004-04-01,27.76,-0.04
2004-05-01,27.95,0.07
2004-06-01,27.7,-0.0
2004-07-01,27.76,0.47
2004-08-01,27.51,0.61
2004-09-01,27.43,0.67
2004-10-01,27.41,0.64
2004-11-01,27.41,0.59
2004-12-01,27.28,0.63
2005-01-01,27.18,0.61
2005-02-01,26.97,0.24
2005-03-01,27.5,0.27
2005-04-01,27.93,0.13
2005-05-01,28.1,0.22
2005-06-01,27.91,0.2
2005-07-01,27.37,0.08
2005-08-01,26.96,0.06
2005-09-01,26.64,-0.12
2005-10-01,26.7,-0.07
2005-11-01,26.29,-0.54
2005-12-01,25.84,-0.8
2006-01-01,25.64,-0.93
2006-02-01,26.06,-0.67
2006-03-01,26.57,-0.66
2006-04-01,27.52,-0.28
2006-05-01,27.82,-0.06
2006-06-01,27.79,0.08
2006-07-01,27.28,-0.01
2006-08-01,27.23,0.33
2006-09-01,27.29,0.53
2006-10-01,27.42,0.65
2006-11-01,27.67,0.85
2006-12-01,27.74,1.1
2007-01-01,27.31,0.75
2007-02-01,26.84,0.11
2007-03-01,27.16,-0.08
2007-04-01,27.7,-0.1
2007-05-01,27.45,-0.43
2007-06-01,27.57,-0.14
2007-07-01,26.89,-0.41
2007-08-01,26.32,-0.58
2007-09-01,25.9,-0.86
2007-10-01,25.58,-1.19
2007-11-01,25.4,-1.42
2007-12-01,25.47,-1.18
2008-01-01,24.97,-1.59
2008-02-01,25.25,-1.49
2008-03-01,26.3,-0.94
2008-04-01,26.95,-0.85
2008-05-01,27.19,-0.69
2008-06-01,27.07,-0.64
2008-07-01,27.03,-0.27
2008-08-01,26.83,-0.07
2008-09-01,26.52,-0.24
2008-10-01,26.57,-0.2
2008-11-01,26.47,-0.35
2008-12-01,25.83,-0.82
2009-01-01,25.76,-0.8
2009-02-01,26.13,-0.6
2009-03-01,26.61,-0.62
2009-04-01,27.65,-0.16
2009-05-01,28.06,0.18
2009-06-01,28.13,0.42
2009-07-01,27.83,0.53
2009-08-01,27.59,0.69
2009-09-01,27.48,0.71
2009-10-01,27.69,0.92
2009-11-01,28.25,1.43
2009-12-01,28.33,1.68
2010-01-01,28.1,1.53
2010-02-01,27.92,1.19
2010-03-01,28.34,1.11
2010-04-01,28.4,0.59
2010-05-01,27.77,-0.11
2010-06-01,27.16,-0.55
2010-07-01,26.38,-0.92
2010-08-01,25.69,-1.21
2010-09-01,25.46,-1.31
2010-10-01,25.36,-1.41
2010-11-01,25.38,-1.44
2010-12-01,25.44,-1.21
2011-01-01,25.09,-1.48
2011-02-01,25.55,-1.19
2011-03-01,26.4,-0.83
2011-04-01,27.05,-0.76
2011-05-01,27.49,-0.39
2011-06-01,27.4,-0.31
2011-07-01,27.11,-0.19
2011-08-01,26.48,-0.42
2011-09-01,26.09,-0.67
2011-10-01,26.06,-0.71
2011-11-01,25.85,-0.98
2011-12-01,25.66,-0.99
2012-01-01,25.91,-0.65
2012-02-01,26.18,-0.55
2012-03-01,26.79,-0.44
2012-04-01,27.29,-0.51
2012-05-01,27.69,-0.19
2012-06-01,27.95,0.24
2012-07-01,27.57,0.27
2012-08-01,27.58,0.68
2012-09-01,27.2,0.44
2012-10-01,27.13,0.36
2012-11-01,27.32,0.5
2012-12-01,26.18,-0.47
2013-01-01,26.09,-0.48
2013-02-01,26.25,-0.48
2013-03-01,27.02,-0.22
2013-04-01,27.92,0.11
2013-05-01,27.58,-0.3
2013-06-01,27.37,-0.34
2013-07-01,27.04,-0.26
2013-08-01,26.43,-0.47
2013-09-01,26.82,0.05
2013-10-01,26.62,-0.15
2013-11-01,26.73,-0.09
2013-12-01,26.47,-0.18
2014-01-01,26.07,-0.49
2014-02-01,25.89,-0.85
2014-03-01,26.89,-0.34
2014-04-01,27.99,0.18
2014-05-01,28.33,0.45
2014-06-01,28.18,0.47
2014-07-01,27.27,-0.03
2014-08-01,26.89,-0.01
2014-09-01,27.07,0.31
2014-10-01,27.2,0.43
2014-11-01,27.57,0.75
2014-12-01,27.28,0.63
2015-01-01,27.07,0.51
2015-02-01,27.48,0.75
2015-03-01,27.68,0.44
2015-04-01,28.63,0.82
2015-05-01,28.71,0.83
2015-06-01,28.73,1.02
2015-07-01,28.56,1.26
2015-08-01,28.55,1.65
2015-09-01,28.55,1.79
2015-10-01,28.98,2.21
2015-11-01,29.54,2.72
2015-12-01,29.03,2.39
2016-01-01,29.04,2.47
2016-02-01,28.97,2.23
2016-03-01,28.85,1.61
2016-04-01,28.79,0.98
2016-05-01,28.15,0.27
