Column1,Column2,Column3,Column4,Column5
-0.59,-0.33,0.82,0.72,0.77
-0.72,-0.04,0.94,1.04,0.67
-0.78,0.19,0.82,1.2,0.22
-0.6,0.4,0.89,1.32,0.06
-0.52,0.51,0.45,0.97,-0.55
-0.56,0.54,0.32,0.85,-1.32
-0.33,0.82,0.72,0.77,-1.7
-0.04,0.94,1.04,0.67,-1.73
0.19,0.82,1.2,0.22,-1.43
0.4,0.89,1.32,0.06,-0.93
0.51,0.45,0.97,-0.55,-2.01
0.54,0.32,0.85,-1.32,-2.22
0.82,0.72,0.77,-1.7,-2.01
0.94,1.04,0.67,-1.73,-2.0
0.82,1.2,0.22,-1.43,-1.48
0.89,1.32,0.06,-0.93,-1.44
0.45,0.97,-0.55,-2.01,-1.32
0.32,0.85,-1.32,-2.22,-0.89
0.72,0.77,-1.7,-2.01,-0.67
1.04,0.67,-1.73,-2.0,-0.57
1.2,0.22,-1.43,-1.48,-0.72
1.32,0.06,-0.93,-1.44,-0.51
0.97,-0.55,-2.01,-1.32,-0.55
0.85,-1.32,-2.22,-0.89,-0.62
0.77,-1.7,-2.01,-0.67,-0.2
0.67,-1.73,-2.0,-0.57,-0.11
0.22,-1.43,-1.48,-0.72,0.01
0.06,-0.93,-1.44,-0.51,-0.18
-0.55,-2.01,-1.32,-0.55,-0.06
-1.32,-2.22,-0.89,-0.62,0.04
-1.7,-2.01,-0.67,-0.2,-0.26
-1.73,-2.0,-0.57,-0.11,-0.03
-1.43,-1.48,-0.72,0.01,0.09
-0.93,-1.44,-0.51,-0.18,-0.03
-2.01,-1.32,-0.55,-0.06,0.18
-2.22,-0.89,-0.62,0.04,-0.09
-2.01,-0.67,-0.2,-0.26,0.22
-2.0,-0.57,-0.11,-0.03,0.33
-1.48,-0.72,0.01,0.09,0.14
-1.44,-0.51,-0.18,-0.03,-0.08
-1.32,-0.55,-0.06,0.18,0.08
-0.89,-0.62,0.04,-0.09,0.25
-0.67,-0.2,-0.26,0.22,0.39
-0.57,-0.11,-0.03,0.33,0.47
-0.72,0.01,0.09,0.14,0.6
-0.51,-0.18,-0.03,-0.08,0.31
-0.55,-0.06,0.18,0.08,0.64
-0.62,0.04,-0.09,0.25,0.89
-0.2,-0.26,0.22,0.39,1.5
-0.11,-0.03,0.33,0.47,1.67
0.01,0.09,0.14,0.6,1.55
-0.18,-0.03,-0.08,0.31,1.16
-0.06,0.18,0.08,0.64,1.0
0.04,-0.09,0.25,0.89,0.91
-0.26,0.22,0.39,1.5,0.42
-0.03,0.33,0.47,1.67,0.15
0.09,0.14,0.6,1.55,-0.08
-0.03,-0.08,0.31,1.16,-0.16
0.18,0.08,0.64,1.0,-0.5
-0.09,0.25,0.89,0.91,-0.18
0.22,0.39,1.5,0.42,0.14
0.33,0.47,1.67,0.15,0.16
0.14,0.6,1.55,-0.08,0.34
-0.08,0.31,1.16,-0.16,0.23
0.08,0.64,1.0,-0.5,0.32
0.25,0.89,0.91,-0.18,0.65
0.39,1.5,0.42,0.14,0.15
0.47,1.67,0.15,0.16,0.22
0.6,1.55,-0.08,0.34,-0.04
0.31,1.16,-0.16,0.23,0.24
0.64,1.0,-0.5,0.32,0.19
0.89,0.91,-0.18,0.65,0.08
1.5,0.42,0.14,0.15,0.1
1.67,0.15,0.16,0.22,0.02
1.55,-0.08,0.34,-0.04,-0.08
1.16,-0.16,0.23,0.24,0.15
1.0,-0.5,0.32,0.19,0.08
0.91,-0.18,0.65,0.08,0.12
0.42,0.14,0.15,0.1,0.13
0.15,0.16,0.22,0.02,-0.01
-0.08,0.34,-0.04,-0.08,0.4
-0.16,0.23,0.24,0.15,0.28
-0.5,0.32,0.19,0.08,0.6
-0.18,0.65,0.08,0.12,0.91
0.14,0.15,0.1,0.13,1.15
0.16,0.22,0.02,-0.01,0.75
0.34,-0.04,-0.08,0.4,0.64
0.23,0.24,0.15,0.28,0.3
0.32,0.19,0.08,0.6,0.07
0.65,0.08,0.12,0.91,-0.21
0.15,0.1,0.13,1.15,-0.36
0.22,0.02,-0.01,0.75,-0.21
-0.04,-0.08,0.4,0.64,-0.57
0.24,0.15,0.28,0.3,-0.66
0.19,0.08,0.6,0.07,-0.94
0.08,0.12,0.91,-0.21,-1.01
0.1,0.13,1.15,-0.36,-0.91
0.02,-0.01,0.75,-0.21,-0.83
-0.08,0.4,0.64,-0.57,-0.77
0.15,0.28,0.3,-0.66,-0.66
0.08,0.6,0.07,-0.94,-0.49
0.12,0.91,-0.21,-1.01,-0.51
0.13,1.15,-0.36,-0.91,-0.48
-0.01,0.75,-0.21,-0.83,-0.37
0.4,0.64,-0.57,-0.77,-0.31
0.28,0.3,-0.66,-0.66,-0.35
0.6,0.07,-0.94,-0.49,-0.55
0.91,-0.21,-1.01,-0.51,-0.43
1.15,-0.36,-0.91,-0.48,-0.6
0.75,-0.21,-0.83,-0.37,-0.61
0.64,-0.57,-0.77,-0.31,-0.39
0.3,-0.66,-0.66,-0.35,-0.36
0.07,-0.94,-0.49,-0.55,-0.11
-0.21,-1.01,-0.51,-0.43,0.4
-0.36,-0.91,-0.48,-0.6,0.81
-0.21,-0.83,-0.37,-0.61,1.27
-0.57,-0.77,-0.31,-0.39,1.68
-0.66,-0.66,-0.35,-0.36,1.84
-0.94,-0.49,-0.55,-0.11,1.96
-1.01,-0.51,-0.43,0.4,2.11
-0.91,-0.48,-0.6,0.81,2.1
-0.83,-0.37,-0.61,1.27,2.03
-0.77,-0.31,-0.39,1.68,1.74
-0.66,-0.35,-0.36,1.84,1.18
-0.49,-0.55,-0.11,1.96,0.5
-0.51,-0.43,0.4,2.11,0.45
-0.48,-0.6,0.81,2.1,-0.75
-0.37,-0.61,1.27,2.03,-1.15
-0.31,-0.39,1.68,1.74,-1.2
-0.35,-0.36,1.84,1.18,-1.03
-0.55,-0.11,1.96,0.5,-1.34
-0.43,0.4,2.11,0.45,-1.31
-0.6,0.81,2.1,-0.75,-1.73
-0.61,1.27,2.03,-1.15,-1.58
-0.39,1.68,1.74,-1.2,-1.1
-0.36,1.84,1.18,-1.03,-0.89
-0.11,1.96,0.5,-1.34,-0.99
0.4,2.11,0.45,-1.31,-0.92
0.81,2.1,-0.75,-1.73,-1.08
1.27,2.03,-1.15,-1.58,-1.03
1.68,1.74,-1.2,-1.1,-1.22
1.84,1.18,-1.03,-0.89,-1.03
1.96,0.5,-1.34,-0.99,-1.19
2.11,0.45,-1.31,-0.92,-1.63
2.1,-0.75,-1.73,-1.08,-1.65
2.03,-1.15,-1.58,-1.03,-1.77
1.74,-1.2,-1.1,-1.22,-1.52
1.18,-1.03,-0.89,-1.03,-1.13
0.5,-1.34,-0.99,-1.19,-0.9
0.45,-1.31,-0.92,-1.63,-0.97
-0.75,-1.73,-1.08,-1.65,-0.7
-1.15,-1.58,-1.03,-1.77,-0.73
-1.2,-1.1,-1.22,-1.52,-0.51
-1.03,-0.89,-1.03,-1.13,-0.52
-1.34,-0.99,-1.19,-0.9,-0.71
-1.31,-0.92,-1.63,-0.97,-0.9
-1.73,-1.08,-1.65,-0.7,-1.05
-1.58,-1.03,-1.77,-0.73,-0.76
-1.1,-1.22,-1.52,-0.51,-0.56
-0.89,-1.03,-1.13,-0.52,-0.37
-0.99,-1.19,-0.9,-0.71,-0.56
-0.92,-1.63,-0.97,-0.9,-0.46
-1.08,-1.65,-0.7,-1.05,-0.16
-1.03,-1.77,-0.73,-0.76,-0.11
-1.22,-1.52,-0.51,-0.56,-0.09
-1.03,-1.13,-0.52,-0.37,-0.19
-1.19,-0.9,-0.71,-0.56,-0.25
-1.63,-0.97,-0.9,-0.46,-0.48
-1.65,-0.7,-1.05,-0.16,-0.53
-1.77,-0.73,-0.76,-0.11,-0.2
-1.52,-0.51,-0.56,-0.09,0.03
-1.13,-0.52,-0.37,-0.19,-0.06
-0.9,-0.71,-0.56,-0.25,0.03
-0.97,-0.9,-0.46,-0.48,0.19
-0.7,-1.05,-0.16,-0.53,0.6
-0.73,-0.76,-0.11,-0.2,0.58
-0.51,-0.56,-0.09,0.03,0.66
-0.52,-0.37,-0.19,-0.06,0.85
-0.71,-0.56,-0.25,0.03,1.02
-0.9,-0.46,-0.48,0.19,1.2
-1.05,-0.16,-0.53,0.6,1.3
-0.76,-0.11,-0.2,0.58,0.88
-0.56,-0.09,0.03,0.66,0.65
-0.37,-0.19,-0.06,0.85,0.5
-0.56,-0.25,0.03,1.02,-0.14
-0.46,-0.48,0.19,1.2,-0.6
-0.16,-0.53,0.6,1.3,-0.34
-0.11,-0.2,0.58,0.88,0.04
-0.09,0.03,0.66,0.65,0.04
-0.19,-0.06,0.85,0.5,0.18
-0.25,0.03,1.02,-0.14,0.42
-0.48,0.19,1.2,-0.6,0.21
-0.53,0.6,1.3,-0.34,0.34
-0.2,0.58,0.88,0.04,0.22
0.03,0.66,0.65,0.04,0.16
-0.06,0.85,0.5,0.18,-0.18
0.03,1.02,-0.14,0.42,-0.04
0.19,1.2,-0.6,0.21,0.07
0.6,1.3,-0.34,0.34,-0.0
0.58,0.88,0.04,0.22,0.47
